Common Name,Scientific Name,Category,Sunlight Requirements,Watering Needs,Soil Type,Other Growing Conditions
Lavender,Lavandula angustifolia,Perennials,Full sun,Low,"Well-drained, sandy soil",Drought-tolerant
Echinacea,Echinacea purpurea,Perennials,Full sun,Medium,"Well-drained, loamy soil",Attracts pollinators
Hosta,Hosta spp.,Perennials,Partial to full shade,Medium,"Moist, well-drained soil",Great for shade gardens
Hydrangea,Hydrangea macrophylla,Shrubs,Partial sun,Medium,"Moist, rich soil",Needs pruning after flowering
Lilac,Syringa vulgaris,Shrubs,Full sun,Medium,"Well-drained, alkaline soil",Fragrant flowers
Azalea,Rhododendron spp.,Shrubs,Partial shade,Medium,"Acidic, well-drained soil",Mulch to retain moisture
Clematis,Clematis spp.,Climbers,Full sun to partial shade,Medium,Well-drained soil,Requires trellis support
Ivy,Hedera helix,Climbers,Partial to full shade,Low,"Moist, well-drained soil","Evergreen, invasive in some areas"
Wisteria,Wisteria sinensis,Climbers,Full sun,Medium,"Well-drained, fertile soil",Needs strong support structure
Tulip,Tulipa spp.,Bulbs,Full sun,Moderate,"Well-drained, sandy soil",Plant in fall for spring blooms
Daffodil,Narcissus spp.,Bulbs,Full sun to partial shade,Low,Well-drained soil,Deer-resistant
Lily,Lilium spp.,Bulbs,Full sun to partial shade,Medium,Well-drained soil,Fragrant flowers
Petunia,Petunia spp.,Bedding,Full sun,High,"Fertile, well-drained soil",Deadhead for continuous blooms
Marigold,Tagetes spp.,Bedding,Full sun,Medium,Well-drained soil,Repels pests in vegetable gardens
Begonia,Begonia spp.,Bedding,Partial shade,Medium,"Moist, well-drained soil",Great for shade gardens
Fountain Grass,Pennisetum alopecuroides,Grasses,Full sun,Low to medium,Well-drained soil,Tolerates drought
Blue Fescue,Festuca glauca,Grasses,Full sun,Low,Well-drained soil,"Drought-resistant, ornamental grass"
Pampas Grass,Cortaderia selloana,Grasses,Full sun,Low,Well-drained soil,"Large, showy plumes"
Knock Out Rose,Rosa 'Knock Out',Roses,Full sun,Medium,Well-drained soil,Disease-resistant variety
Hybrid Tea Rose,Rosa spp.,Roses,Full sun,Medium,Well-drained soil,"Large, fragrant blooms"
Climbing Rose,Rosa spp.,Roses,Full sun,Medium,Well-drained soil,Needs support for vertical growth
Boston Fern,Nephrolepis exaltata,Ferns,Indirect light,High,"Rich, moist soil",Loves humidity
Maidenhair Fern,Adiantum spp.,Ferns,Partial shade,High,"Moist, well-drained soil",Delicate foliage
Japanese Painted Fern,Athyrium niponicum,Ferns,Partial shade,Medium,"Rich, moist soil",Silver-gray foliage
Apple Tree,Malus domestica,Fruit,Full sun,Medium,"Well-drained, loamy soil",Requires cross-pollination
Blueberry,Vaccinium spp.,Fruit,Full sun,Medium,"Acidic, well-drained soil",Produces edible berries
Fig Tree,Ficus carica,Fruit,Full sun,Low to medium,Well-drained soil,Drought-tolerant once established
Basil,Ocimum basilicum,Herbs,Full sun,Medium,"Rich, well-drained soil",Pinch tops for bushier growth
Rosemary,Rosmarinus officinalis,Herbs,Full sun,Low,"Well-drained, sandy soil",Drought-tolerant
Thyme,Thymus vulgaris,Herbs,Full sun,Low,Well-drained soil,"Used in cooking, attracts pollinators"
Rhododendron,Rhododendron spp.,Mature shrubs,Partial shade,Medium,"Acidic, well-drained soil",Mulch to retain moisture
Camellia,Camellia japonica,Mature shrubs,Partial shade,Medium,"Acidic, well-drained soil",Blooms in winter
Holly,Ilex aquifolium,Mature shrubs,Full sun to partial shade,Medium,Well-drained soil,Evergreen with berries
Tomato,Solanum lycopersicum,Vegetables,Full sun,Medium to high,"Rich, well-drained soil",Support with stakes or cages
Carrot,Daucus carota,Vegetables,Full sun,Low to medium,"Loose, sandy soil",Avoid rocky soil for straight roots
Lettuce,Lactuca sativa,Vegetables,Partial sun,High,"Moist, well-drained soil",Cool-season crop
Boxwood,Buxus sempervirens,Hedging,Full sun to partial shade,Low to medium,Well-drained soil,Prune for shape
Privet,Ligustrum spp.,Hedging,Full sun to partial shade,Medium,Well-drained soil,Fast-growing hedge plant
Yew,Taxus baccata,Hedging,Partial shade,Low to medium,Well-drained soil,Tolerates heavy pruning
Oak,Quercus spp.,Trees,Full sun,Low to medium,"Well-drained, deep soil",Long-lived and strong wood
Maple,Acer spp.,Trees,Full sun to partial shade,Medium,Well-drained soil,Beautiful fall foliage
Pine,Pinus spp.,Trees,Full sun,Low,Well-drained soil,Evergreen conifer
